Round,Round name,Round description,Song,Artist,Album,Song votes,Song voters,Song rank,Song person submitted,Song person submitted comment,Votes and comments
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,SexyBack (feat. Timbaland),Justin Timberlake,FutureSex/LoveSound,24,13,8th,Duncan Moreland,,"rena :)
4
Tatami
4
EJ Gunter
3
Marina
2
N2N0
2
JustRimmey
2
Kate Booth
1
JJdaPanda
1
Heavy Metal Zebra
1
Terry L.
1
Sjr
1
ThenerB
1
Dina B
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,The Heart Of The Matter,Don Henley,The End Of The Innocence,23,11,9th,Terry L.,From the band The Eagles,"N2N0
4
Matthew J. Hobbs
4
Dina B
3
Heavy Metal Zebra
2
Sjr
2
rena :)
2
JustRimmey
2
JJdaPanda
1
Tatami
1
Duncan Moreland
1
ThenerB
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,APT.,ROSÉ,rosie,21,9,10th,ThenerB,,"HippyHippyShake
5
JJdaPanda
4
Mooly
3
Tatami
2
JustRimmey
2
Marina
2
Sjr
1
Dina B
1
Matthew J. Hobbs
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Twist Of Cain,Danzig,Danzi,17,8,11th,Mooly,Previously of the Misfits,"Kate Booth
5
JustRimmey
4
Duncan Moreland
3
JJdaPanda
1
Heavy Metal Zebra
1
Sjr
1
Dina B
1
ThenerB
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Beautiful Dangerous (feat. Fergie),Slash,Slash (Special Editi,16,10,12th,Heavy Metal Zebra,,"Duncan Moreland
3
Terry L.
3
Dina B
2
rena :)
2
JJdaPanda
1
Sjr
1
N2N0
1
ThenerB
Point for the twofer
1
JustRimmey
1
Marina
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Slow Hands,Niall Horan,Flicker (Deluxe,16,8,13th,rena :),,"HippyHippyShake
3
Sjr
3
N2N0
3
Kate Booth
2
JJdaPanda
2
Tatami
1
Dina B
1
ThenerB
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,like JENNIE,JENNIE,Rub,13,6,14th,HippyHippyShake,Try not to dance challenge lvl Impossible,"JJdaPanda
3
Marina
3
Tatami
2
ThenerB
Great minds think alike - BLACKPINK in your area!
2
JustRimmey
2
Dina B
1
Duncan Moreland
Fr?"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Editi,11,7,15th,EJ Gunter,,"rena :)
3
Kate Booth
2
N2N0
2
JJdaPanda
1
Sjr
1
Dina B
1
ThenerB
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,mirror,Moon Byul,Dark Side of the,7,6,16th,Marina,Moon Byul is a former member of K-pop group MAMAMOO,"ThenerB
Love MAMAMOO and more kpop on here!
2
JJdaPanda
1
Tatami
1
Sjr
1
Dina B
1
JustRimmey
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Born With a Broken Heart,Damiano David,FUNNY little FEARS,6,5,17th,JJdaPanda,,"Sjr
2
Kate Booth
1
Tatami
1
Dina B
1
ThenerB
Nice!
1"
9,gone solo,favorite song from an artist who started in a band but have since had a solo career,Adore You,Harry Styles,Fine Line,20 0,10,18th,JacAttac,Did not vote,"ThenerB
Harry was my first pick, beat me to it 💛
4
N2N0
3
Terry L.
3
JJdaPanda
2
rena :)
2
EJ Gunter
2
Sjr
1
Duncan Moreland
1
Dina B
1
Matthew J. Hobbs
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/5bd2afdcac554efeb2351d1012e3b9ee/,""OPEN"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,Where Is My Mind?,Pixies,Death to the Pixie,41,12,1st,Kate Booth,,"Mooly
7
Heavy Metal Zebra
5
Matthew J. Hobbs
5
HippyHippyShake
4
Marina
4
N2N0
3
Duncan Moreland
3
ThenerB
Forgot about this song 👍👍
3
JustRimmey
3
Sjr
2
JJdaPanda
1
JacAttac
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,bad idea right?,Olivia Rodrigo,GUTS,37,12,2nd,JJdaPanda,,"HippyHippyShake
6
Duncan Moreland
4
JacAttac
4
Terry L.
4
Marina
4
Heavy Metal Zebra
3
N2N0
3
Kate Booth
2
ThenerB
Felt lol
2
JustRimmey
2
Matthew J. Hobbs
2
Sjr
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,Hey Ya!,Outkast,Speakerboxxx/The Love Below,36,13,3rd,Duncan Moreland,,"HippyHippyShake
6
Heavy Metal Zebra
5
Kate Booth
4
JacAttac
4
Matthew J. Hobbs
4
N2N0
3
Terry L.
2
ThenerB
2
JustRimmey
2
JJdaPanda
1
Mooly
1
Marina
1
Sjr
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,Da Ya Think I'm Sexy?,Rod Stewart,Blondes Have More Fu,29,12,4th,Terry L.,,"Mooly
8
Kate Booth
4
Heavy Metal Zebra
3
ThenerB
Nice throwback 
3
Sjr
2
JustRimmey
2
Matthew J. Hobbs
2
JJdaPanda
1
N2N0
1
Duncan Moreland
1
JacAttac
1
Marina
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,Ain't It Fun,Paramore,Paramore (Deluxe Editi,26,11,5th,HippyHippyShake,Forever a Hayley Williams fan,"JustRimmey
4
Terry L.
4
Kate Booth
3
Heavy Metal Zebra
3
N2N0
3
Duncan Moreland
3
Sjr
2
JJdaPanda
1
ThenerB
I can’t not give a vote for this song 
1
Matthew J. Hobbs
1
Marina
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Prince,25,10,6th,Mooly,,"Marina
6
Terry L.
4
JacAttac
3
Matthew J. Hobbs
3
N2N0
2
Duncan Moreland
2
JustRimmey
2
JJdaPanda
1
Sjr
1
ThenerB
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,Why'd You Only Call Me When You're High?,Arctic Monkeys,A,23,10,7th,N2N0,,"JacAttac
4
Mooly
4
Duncan Moreland
3
Marina
3
Sjr
2
ThenerB
Classic
2
JustRimmey
2
JJdaPanda
1
Matthew J. Hobbs
1
Terry L.
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,WHERE IS MY HUSBAND!,RAYE,WHERE IS MY HUSBAND!,23,9,8th,JacAttac,,"JJdaPanda
5
Duncan Moreland
4
Terry L.
3
Marina
3
Heavy Metal Zebra
2
Sjr
2
N2N0
2
ThenerB
1
Matthew J. Hobbs
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,"What's So Funny 'Bout) Peace, Love And Understanding",Elvis Costello & The Attractions,Armed Forces (Super Deluxe Editi,21,11,9th,Matthew J. Hobbs,Parentheses-Apostrophe-Commas," Take your pick
Kate Booth
4
Sjr
3
Heavy Metal Zebra
2
HippyHippyShake
2
JustRimmey
2
Mooly
2
Terry L.
2
JJdaPanda
1
N2N0
1
ThenerB
1
JacAttac
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,SPOT!,ZICO,SPOT!,18,11,10th,ThenerB,,"JJdaPanda
4
N2N0
3
Duncan Moreland
2
Mooly
2
Kate Booth
1
Sjr
1
JustRimmey
1
JacAttac
1
Matthew J. Hobbs
1
Terry L.
1
Marina
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,Injustice System!,Sick Of It All,Nonstop,17,10,11th,Heavy Metal Zebra,,"HippyHippyShake
4
Kate Booth
3
Sjr
2
JustRimmey
2
JJdaPanda
1
N2N0
1
Duncan Moreland
1
ThenerB
1
JacAttac
1
Matthew J. Hobbs
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,Bang!,AJR,OK ORCHESTRA,16,8,12th,Sjr,,"JJdaPanda
5
ThenerB
Love this song, underrated 
3
JacAttac
2
Terry L.
2
Kate Booth
1
HippyHippyShake
1
N2N0
1
Matthew J. Hobbs
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,icarus?,serin oh,icarus?,15,11,13th,Marina,,"Kate Booth
2
Sjr
2
ThenerB
Never heard it but like it
*also reminds me of Super Cool from the 2nd Lego movie and I can’t I hear it 
2
JustRimmey
2
JJdaPanda
1
Heavy Metal Zebra
1
N2N0
1
Duncan Moreland
1
JacAttac
1
Matthew J. Hobbs
1
Terry L.
1"
8,title containing punctuation,EX : when did you get hot ? sabrina carpenter,Oxford Comma,Vampire Weekend,Vampire Weekend,9,6,14th,JustRimmey,The name being a style of a comma has to work right?,"Sjr
3
ThenerB
Normally I would not count this but appreciate the creativity and give a f*ck about an Oxford comma (and I love this song so much lol) 
2
JJdaPanda
1
HippyHippyShake
1
JacAttac
1
Matthew J. Hobbs
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/9f17eca5e0634b01972f4ae343ed6b85/,""OPEN"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,I'll Make a Man Out of You,Donny Osmond,Mulan (Original Soundtrack,50,14,1st,Tatami,,"Mooly
6
HippyHippyShake
6
Heavy Metal Zebra
5
ThenerB
Pops in my head at least once a month, and sung as dramatically as ever every time 
5
N2N0
5
JJdaPanda
4
EJ Gunter
4
rena :)
YESSSS MY 2nd FAV DISNEY MOVIEEEE !! mulan needs more recognition !!!!!!
4
Terry L.
3
Duncan Moreland
3
Marina
2
Sjr
1
Dina B
1
JustRimmey
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Decode - Twilight Soundtrack Version,Paramore,Brand New Eye,36,12,2nd,Dina B,,"Marina
9
rena :)
7
Duncan Moreland
5
Terry L.
3
EJ Gunter
3
ThenerB
2
JustRimmey
2
JJdaPanda
1
Tatami
1
Sjr
1
N2N0
1
Matthew J. Hobbs
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,You're The Best,"Joe """"Bean"""" Esposito",The Karate Kid: The Original Motion Picture Soundtrack,32,12,3rd,Terry L.,,"Heavy Metal Zebra
5
JustRimmey
5
Mooly
5
Matthew J. Hobbs
4
rena :)
3
Dina B
2
ThenerB
2
Marina
2
JJdaPanda
1
Tatami
1
Sjr
1
Duncan Moreland
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Somebody Kill Me,Adam Sandler,The Wedding Singer (Music From The Motion Picture,30,13,4th,Matthew J. Hobbs,So it’s not my favorite. ,"But it’s a gem of a song. 
HippyHippyShake
6
Mooly
5
JustRimmey
3
Terry L.
3
Dina B
3
Tatami
2
Sjr
2
JJdaPanda
1
Heavy Metal Zebra
1
rena :)
1
Duncan Moreland
1
EJ Gunter
1
ThenerB
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Everybody Needs Somebody to Love,The Blues Brothers,The Blues Brothers Original Motion Picture Soundtrack,29,12,5th,Heavy Metal Zebra,,"N2N0
5
rena :)
3
JustRimmey
3
EJ Gunter
3
Tatami
2
Sjr
2
Duncan Moreland
2
Dina B
2
ThenerB
Classic 
2
Matthew J. Hobbs
2
Marina
2
JJdaPanda
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Immigrant Song,Trent Reznor and Atticus Ross,The Girl With the Dragon Tatt,27,11,6th,Marina,,"Mooly
6
EJ Gunter
5
Sjr
3
Duncan Moreland
3
N2N0
2
Dina B
2
JustRimmey
2
JJdaPanda
1
Heavy Metal Zebra
1
Tatami
1
Matthew J. Hobbs
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,I Won't Say (I'm In Love),Susan Egan,Hercules (Original Motion Picture Soundtrack,22,10,7th,EJ Gunter,,"HippyHippyShake
6
Heavy Metal Zebra
3
rena :)
soooo iconic ⭐️
3
JJdaPanda
2
Tatami
2
N2N0
2
Sjr
1
Duncan Moreland
1
ThenerB
Nice 
1
JustRimmey
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth,21,10,8th,HippyHippyShake,,"EJ Gunter
4
JJdaPanda
3
Sjr
3
Matthew J. Hobbs
3
Tatami
2
Dina B
2
Heavy Metal Zebra
1
Duncan Moreland
1
ThenerB
1
Terry L.
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Your Idol,Saja Boys,KPop Demon Hunters (Soundtrack from the Netflix Film,21,8,9th,ThenerB,"Sorry, not sorry ","Tatami
4
JJdaPanda
3
HippyHippyShake
3
N2N0
3
EJ Gunter
3
Heavy Metal Zebra
2
Dina B
2
Sjr
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Snakes on a Plane (Bring It),Cobra Starship,Snakes On A Plane: The Album (Original Motion Picture Soundtrack,19,11,10th,JustRimmey,,"HippyHippyShake
3
Duncan Moreland
3
ThenerB
Forgot about this song 🤣 nice
3
Dina B
2
Terry L.
2
JJdaPanda
1
Heavy Metal Zebra
1
Tatami
1
Sjr
1
N2N0
1
EJ Gunter
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Goodbye Horses - Single,Q Lazzarus,Goodbye Horses - Single,18,10,11th,Mooly,The Silence of the Lambs. Iconic,"Matthew J. Hobbs
4
JustRimmey
3
Sjr
2
N2N0
2
Dina B
2
JJdaPanda
1
Tatami
1
Duncan Moreland
1
ThenerB
1
Marina
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,"She's Like the Wind (feat. Wendy Fraser) - From """"Dirty Dancing"""" Soundtrack",Patrick Swayze,Dirty Dancing (Original Motion Picture Soundtrack,18,9,12th,rena :),my favorite movie of all time 🥹,"Terry L.
5
Heavy Metal Zebra
3
Sjr
2
JustRimmey
2
Matthew J. Hobbs
2
JJdaPanda
1
Tatami
1
Dina B
1
ThenerB
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli xcx,The Fault In Our Stars: Music From The Motion Picture,18,8,13th,N2N0,The soundtrack to this movie was so amazing. Like more than I ever expected.,"Terry L.
4
Marina
4
Matthew J. Hobbs
3
JJdaPanda
2
Tatami
2
Sjr
1
Duncan Moreland
1
JustRimmey
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Suddenly I See,KT Tunstall,Eye To The Telescope,17,10,14th,Sjr,The Devil Wears Prada,"N2N0
3
Marina
3
Duncan Moreland
Just rewatched this
2
Matthew J. Hobbs
2
Terry L.
2
JJdaPanda
1
Heavy Metal Zebra
1
Tatami
1
ThenerB
1
JustRimmey
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,"Love Is an Open Door - From """"Frozen""""/Soundtrack Version",Kristen Bell,Frozen (Original Motion Picture Soundtrack / Deluxe Editi,15,7,15th,JJdaPanda,,"Dina B
3
ThenerB
Such a great soundtrack and I appreciate you choosing this song
3
rena :)
3
Tatami
2
Matthew J. Hobbs
2
Sjr
1
Terry L.
1"
7,MOVIE CHECCKKKKK,song from your favorite movie / favorite movie soundtrack,Adagio For TRON,Daft Punk,TRON: Legacy - The Complete Edition (Original Motion Picture Soundtrack,11,8,16th,Duncan Moreland,,"Sjr
2
Dina B
2
Mooly
2
JJdaPanda
1
Heavy Metal Zebra
1
Tatami
1
ThenerB
1
Marina
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/4fd6fe075c7e4724b552f26ce8bee94c/,""OPEN"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,The Real Slim Shady,Eminem,The Marshall Mathers LP,41,14,1st,Heavy Metal Zebra,,"HippyHippyShake
6
Marina
6
Sjr
3
Tatami
3
Mooly
3
EJ Gunter
3
ThenerB
Omg I remember sneaking after my bedtime to try and capture this on my tape recorder bc the local radio station wouldn’t play it until after 9p 🤣 
3
JJdaPanda
2
Terry L.
2
Matthew J. Hobbs
2
JustRimmey
2
N2N0
2
Duncan Moreland
2
Dina B
2"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,Backstreet B,37,14,2nd,Sjr,,"HippyHippyShake
6
Marina
6
Heavy Metal Zebra
4
Mooly
3
Terry L.
3
ThenerB
😍
3
JJdaPanda
2
EJ Gunter
2
Matthew J. Hobbs
2
Dina B
2
Tatami
1
N2N0
1
Duncan Moreland
1
JustRimmey
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Wannabe,Spice Girls,Spice,35,14,3rd,Dina B,,"HippyHippyShake
4
N2N0
3
ThenerB
🤩
3
Matthew J. Hobbs
3
EJ Gunter
3
Heavy Metal Zebra
3
Tatami
2
JJdaPanda
2
Duncan Moreland
2
JustRimmey
2
Mooly
2
Terry L.
2
Marina
2
Sjr
2"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Who Am I (What’s My Name)?,Snoop Dogg,Doggystyle,27,11,4th,Tatami,,"HippyHippyShake
6
Duncan Moreland
3
JustRimmey
3
Mooly
3
EJ Gunter
3
Dina B
2
ThenerB
2
Terry L.
2
JJdaPanda
1
Heavy Metal Zebra
1
Sjr
1"
6,childhood JAM,any song that brings extreme nostalgia and takes you right back to the good ole days,Straight Up,Paula Abdul,Forever Your Girl,25,12,5th,HippyHippyShake,I remember being obsessed with Paula Abdul in elementary school and can remember pieces of a dance my friends and I did to this song from my fourth grade talent show. ,"N2N0
4
Dina B
3
Matthew J. Hobbs
3
Heavy Metal Zebra
2
Tatami
2
Duncan Moreland
2
ThenerB
2
JustRimmey
2
Terry L.
2
JJdaPanda
1
Sjr
1
Mooly
1"
